PARENT NAME,VARIETY NAME,SUB-VARIETY,TAGS,PARENT IMAGE,VARIETY IMAGE
Eggplants,Indian,,"vegetable, asian",eggplants_blackbeauty.jpeg,
Eggplants,Italian,,vegetable,eggplants_blackbeauty.jpeg,
Eggplants,Japanese,,"vegetable, asian",eggplants_blackbeauty.jpeg,
Eggplants,Sicilian,,vegetable,eggplants_blackbeauty.jpeg,
Eggplants,Thai,,"vegetable, asian",eggplants_blackbeauty.jpeg,
Eggplants,White Beauty,,vegetable,eggplants_blackbeauty.jpeg,
Figs,Black Mission,,fruit,figs_blackmission.jpeg,figs_blackmission.jpeg
Figs,Brown Turkey,,fruit,figs_blackmission.jpeg,
Figs,Calimyrna,,fruit,figs_blackmission.jpeg,
Figs,Kadota,,fruit,figs_blackmission.jpeg,
Figs,King,,fruit,figs_blackmission.jpeg,
Figs,Sierra,,fruit,figs_blackmission.jpeg,
Grapefruit,Duncan,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Flame,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Marsh,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Melogold,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Orcoblanco,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Pomelo,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Rio red,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapefruit,Ruby Red (Redblush),,"fruit, citrus",grapefruit_rubyred.jpeg,grapefruit_rubyred.jpeg
Grapefruit,Star Ruby,,"fruit, citrus",grapefruit_rubyred.jpeg,
Grapes,Autumn King,,fruit,grapes.jpeg,
Grapes,Autumn Royal,,fruit,grapes.jpeg,
Grapes,Black Corinth (Champagne),,fruit,grapes.jpeg,
Grapes,Black Monukka,,fruit,grapes.jpeg,
Grapes,Bronx,,fruit,grapes.jpeg,
Grapes,Cardinal,,fruit,grapes.jpeg,
Grapes,Concord,,fruit,grapes.jpeg,
Grapes,Crimson Seedless,,fruit,grapes.jpeg,
Grapes,Emperor,,fruit,grapes.jpeg,
Grapes,Flame Seedless,,fruit,grapes.jpeg,
Grapes,Muscadine Grape,,fruit,grapes.jpeg,
Grapes,Muscat,,fruit,grapes.jpeg,
Grapes,Perlette,,fruit,grapes.jpeg,
